20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_07.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_08.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_09.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_10.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_11.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_12.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_13.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_14.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_15.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_16.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_16_20201004200054.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_17.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_18.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_19.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_20.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_21.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_22.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_23.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_24.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_25.raw
86624.0,78366.0,68587.0,47512.0,72487.0,96306.0,96914.0,60408.0,94556.0,35935.0,76435.0,80906.0,119640.0,127195.0,5440.0,108391.0,146707.0,103095.0,51395.0,71628.0
86570.0,78376.0,68577.0,47577.0,71526.0,96405.0,96834.0,60418.0,94586.0,35964.0,76445.0,80916.0,120741.0,127205.0,5431.0,108976.0,146658.0,103152.0,51980.0,71618.0
86502.0,78386.0,68567.0,62181.0,71641.0,96415.0,96844.0,60438.0,94852.0,30480.0,39993.0,80956.0,120821.0,127215.0,5393.0,108956.0,137795.0,103225.0,54747.0,71608.0
86274.0,78396.0,68557.0,38802.0,71747.0,96444.0,96416.0,60448.0,94893.0,35984.0,40003.0,80966.0,120830.0,127254.0,5363.0,108946.0,146648.0,103283.0,53857.0,71598.0
86067.0,41563.0,68497.0,47597.0,70693.0,96453.0,94661.0,60338.0,93645.0,36014.0,40535.0,80976.0,120870.0,127264.0,54565.0,108936.0,146638.0,103386.0,53877.0,71588.0
85930.0,70612.0,68389.0,47607.0,70683.0,96473.0,96004.0,60478.0,93625.0,35730.0,40463.0,81035.0,120880.0,127293.0,5333.0,108926.0,146628.0,103522.0,53886.0,118008.0
85889.0,78435.0,68783.0,47422.0,71767.0,96493.0,95954.0,60142.0,95372.0,34777.0,76532.0,80760.0,120960.0,127302.0,54614.0,108917.0,146618.0,103542.0,51860.0,71578.0
85878.0,73712.0,69287.0,39037.0,71884.0,96523.0,94792.0,60084.0,93231.0,34148.0,76513.0,79663.0,119620.0,127312.0,5253.0,108467.0,146598.0,103594.0,53906.0,71568.0
85840.0,78530.0,69326.0,47075.0,70653.0,96572.0,94801.0,59772.0,93221.0,34767.0,40373.0,80347.0,119590.0,127896.0,5165.0,108741.0,137805.0,103614.0,53916.0,71548.0
85830.0,78540.0,69354.0,39148.0,70643.0,96632.0,94821.0,59809.0,95382.0,32441.0,40343.0,80327.0,119580.0,127876.0,7315.0,112120.0,146542.0,103636.0,53936.0,71539.0
83622.0,78550.0,70090.0,46526.0,71496.0,96673.0,94851.0,59847.0,95402.0,32411.0,40334.0,79693.0,120980.0,127866.0,7325.0,110421.0,146472.0,103648.0,53946.0,71491.0
81277.0,70592.0,71889.0,39377.0,70633.0,96779.0,94859.0,59857.0,95442.0,32372.0,40324.0,79703.0,121000.0,127847.0,7335.0,112294.0,137871.0,103658.0,53954.0,71481.0
83587.0,78560.0,70042.0,46624.0,70573.0,96857.0,94962.0,59867.0,93201.0,32363.0,76493.0,79750.0,119570.0,127807.0,9616.0,112284.0,146453.0,103717.0,53303.0,71473.0
83446.0,70563.0,70032.0,46644.0,70563.0,96884.0,95010.0,59877.0,93192.0,32353.0,40248.0,79780.0,120436.0,127797.0,9597.0,112236.0,146444.0,103727.0,53964.0,71463.0
82058.0,74132.0,70022.0,44989.0,70534.0,96943.0,95308.0,60102.0,95462.0,32343.0,40238.0,79830.0,121018.0,126940.0,9508.0,112226.0,137699.0,103735.0,54077.0,71735.0
82046.0,78590.0,70012.0,39357.0,71914.0,96992.0,95344.0,59897.0,92987.0,32334.0,40555.0,79849.0,119739.0,127747.0,9498.0,112216.0,137661.0,103745.0,53235.0,71754.0
82029.0,78613.0,69992.0,46684.0,70524.0,97002.0,95354.0,59936.0,95541.0,32451.0,40230.0,79916.0,120407.0,127680.0,9488.0,112207.0,146805.0,103755.0,51870.0,71763.0
81951.0,78633.0,69982.0,63800.0,70506.0,97011.0,95364.0,59986.0,95561.0,32284.0,40190.0,79935.0,119998.0,127501.0,9315.0,112197.0,137592.0,103765.0,51693.0,71776.0
81912.0,74406.0,69972.0,46714.0,70496.0,97030.0,95394.0,59996.0,92938.0,32256.0,40180.0,79974.0,120018.0,127481.0,9265.0,112168.0,147169.0,103815.0,54087.0,72326.0
81873.0,77316.0,69942.0,63860.0,72001.0,97040.0,95964.0,60006.0,92928.0,30800.0,40170.0,79994.0,120038.0,127472.0,9210.0,112158.0,147150.0,102995.0,53186.0,72317.0
82068.0,71498.0,69922.0,46756.0,70486.0,97067.0,95424.0,60035.0,95571.0,32236.0,40160.0,80004.0,119939.0,127332.0,9200.0,112149.0,147140.0,103825.0,54096.0,72307.0
81833.0,75495.0,69912.0,46796.0,67137.0,97087.0,95543.0,60055.0,95581.0,32197.0,40150.0,80014.0,120066.0,127322.0,9182.0,112110.0,147130.0,102936.0,54116.0,72248.0
81711.0,41790.0,69902.0,39218.0,70416.0,97154.0,95553.0,59927.0,92919.0,32138.0,40130.0,80337.0,120106.0,127699.0,9172.0,112101.0,137459.0,102907.0,51880.0,72238.0
81652.0,41780.0,69842.0,46806.0,70763.0,94265.0,95573.0,61859.0,95303.0,32098.0,76465.0,80034.0,119860.0,126910.0,9115.0,112064.0,147120.0,102150.0,53264.0,72228.0
81615.0,71102.0,69823.0,46826.0,71447.0,92611.0,95593.0,60537.0,95629.0,32088.0,40090.0,80098.0,120116.0,126900.0,9096.0,112045.0,137533.0,102160.0,53828.0,72169.0
